Customer_ID,Year,Quarter,Current_Ratio,Debt_to_Equity,ROA,Interest_Coverage,Cash_Flow_Operations,Revenue_Growth,EBIT_Margin,Net_Profit_Margin,Asset_Turnover,Inventory_Turnover,Working_Capital,Quick_Ratio,Cash_Ratio,Total_Assets,Total_Debt,Total_Equity,Market_Value
CUST_004,2024,Q2,2.4,0.38,0.14,12.5,0.18,0.16,0.25,0.18,1.22,9.8,680,2.1,0.95,3500,798,2100,18000
CUST_004,2024,Q1,2.5,0.35,0.15,13.8,0.19,0.22,0.27,0.19,1.25,10.2,720,2.2,1.02,3400,714,2040,17800
CUST_004,2023,Q4,2.2,0.42,0.13,10.8,0.16,0.28,0.23,0.16,1.18,9.1,620,1.9,0.88,3300,826.5,1968,17200
CUST_004,2023,Q3,2.0,0.48,0.11,8.9,0.14,0.35,0.20,0.13,1.15,8.2,560,1.7,0.78,3200,921.6,1920,16500
CUST_004,2023,Q2,1.9,0.52,0.10,7.8,0.13,0.19,0.18,0.11,1.12,7.6,520,1.6,0.71,3100,967.2,1860,16000
CUST_004,2023,Q1,2.6,0.32,0.16,15.2,0.20,0.31,0.29,0.21,1.28,11.5,780,2.3,1.08,3000,576,1800,18200
CUST_004,2022,Q4,2.1,0.45,0.12,9.5,0.15,0.24,0.21,0.14,1.16,8.8,600,1.8,0.82,2900,783,1740,17000
CUST_004,2022,Q3,1.8,0.55,0.09,6.8,0.12,0.41,0.17,0.10,1.09,7.1,480,1.5,0.68,2800,924,1680,15800
CUST_004,2022,Q2,2.7,0.29,0.17,17.8,0.21,0.38,0.31,0.22,1.31,12.8,840,2.4,1.15,2700,469.8,1620,18500
CUST_004,2022,Q1,2.3,0.41,0.13,11.2,0.17,0.26,0.24,0.17,1.19,9.6,660,2.0,0.89,2600,639,1560,17500
CUST_005,2024,Q2,1.5,0.95,0.07,3.8,0.09,0.06,0.13,0.06,1.02,4.8,280,1.2,0.45,2200,1430,1505,6500
CUST_005,2024,Q1,1.6,0.88,0.08,4.2,0.10,0.12,0.15,0.08,1.05,5.2,320,1.3,0.52,2150,1376,1564,6400
CUST_005,2023,Q4,1.4,1.05,0.06,3.2,0.08,0.18,0.11,0.05,0.98,4.2,240,1.1,0.38,2100,1470,1400,6100
CUST_005,2023,Q3,1.3,1.15,0.05,2.8,0.07,0.25,0.09,0.03,0.95,3.8,200,1.0,0.32,2050,1537.5,1337.5,5800
CUST_005,2023,Q2,1.2,1.25,0.04,2.2,0.06,0.15,0.07,0.02,0.92,3.4,160,0.9,0.28,2000,1562.5,1250,5500
CUST_005,2023,Q1,1.7,0.82,0.09,4.8,0.11,0.28,0.16,0.09,1.08,5.6,380,1.4,0.58,1950,976,1190,6200
CUST_005,2022,Q4,1.3,1.12,0.05,2.5,0.07,0.22,0.08,0.03,0.93,3.6,180,1.0,0.31,1900,1330,1188,5600
CUST_005,2022,Q3,1.1,1.28,0.03,1.9,0.05,0.35,0.05,0.01,0.88,3.1,120,0.8,0.25,1850,1481,1158,5200
CUST_005,2022,Q2,1.8,0.78,0.10,5.5,0.12,0.32,0.18,0.10,1.11,6.2,420,1.5,0.62,1800,765,983,6000
CUST_005,2022,Q1,1.5,0.96,0.07,3.6,0.09,0.24,0.12,0.06,1.00,4.5,260,1.2,0.42,1750,945,984,5700
